surprise,dep_var,sample,n,alpha,beta,se,tstat,pval,r2
dict_surprise_ar1,sp500_ret1d,test,88,0.00770191777680717,-0.21700437502193787,0.27158987786688304,-0.7990149586071845,0.4242817383464502,0.01527710024840434
dict_surprise_ar1,sp500_ret1w,full,233,0.22530472342808994,0.4559786311760683,0.3115885187861631,1.4633999768425268,0.14335796501974046,0.01676898317786757
dict_surprise_ar1,sp500_ret1w,train,145,0.44632362963185,0.16977501483683746,0.34690406143306507,0.4894004818954691,0.6245581949711934,0.003689790463444864
dict_surprise_ar1,sp500_ret1w,test,88,-0.09753573424877873,1.071925266103839,0.7972774552214953,1.3444820985262183,0.17879254139845513,0.050559484867680915
dict_surprise_market,dgs2_ret1d,full,235,-0.007905126979358345,-0.0009549187660636243,0.004956382694342549,-0.19266445408939345,0.8472217633617141,0.00015955797746169953
dict_surprise_market,dgs2_ret1d,train,147,-0.0031972789115646437,0.0017303962398990834,0.005345363566030311,0.32371909198014526,0.7461507152384266,0.0005291354910227364
dict_surprise_market,dgs2_ret1d,test,88,-0.020414148192534853,-0.0113067379658816,0.01245570624650297,-0.9077556697402083,0.3640073243791707,0.019281996129205115
dict_surprise_market,dgs2_ret1w,full,235,-0.007188701195178787,0.020024259571142424,0.01007116194941055,1.988276990453362,0.046781064124836624,0.029099621627882266
dict_surprise_market,dgs2_ret1w,train,147,-0.002040816326530601,0.019146546377896576,0.012523509401511826,1.5288483255009353,0.12630204906422146,0.03149758989240692
dict_surprise_market,dgs2_ret1w,test,88,-0.01710734763102091,0.01708384668682433,0.022477785873598423,0.7600324508336199,0.4472351877969679,0.014403056184670415
dict_surprise_market,dgs10_ret1d,full,235,-0.007476624871524649,-0.004229641858642061,0.004157950325895016,-1.0172420368518023,0.30903830296542356,0.003258401520147225
dict_surprise_market,dgs10_ret1d,train,147,0.0005442176870748218,-0.004526567693728104,0.005055918918784966,-0.8953006894374652,0.370626371863086,0.0031526692187928695
dict_surprise_market,dgs10_ret1d,test,88,-0.02398606303579448,-0.011163100813906741,0.00795877376029492,-1.4026156729818995,0.16073147559225975,0.03240287875021641
dict_surprise_market,dgs10_ret1w,full,235,-0.006587543251640765,0.007899921216650398,0.00950127776902943,0.8314588215072664,0.4057144815100199,0.004038914430820273
dict_surprise_market,dgs10_ret1w,train,147,-0.003469387755102013,0.00482939174034011,0.012324112783875093,0.3918652664927654,0.695157767966343,0.0015302669334926744
dict_surprise_market,dgs10_ret1w,test,88,-0.010092781559913036,0.011696512152460134,0.018723469036242685,0.6246979194837988,0.5321693388810882,0.00749267596808334
dict_surprise_market,sp500_ret1d,full,234,0.3094028576323355,0.173505514188167,0.09538007391866007,1.8190960340011075,0.06889678003796176,0.017256881254719025
dict_surprise_market,sp500_ret1d,train,146,0.43600983076485517,0.1659937376786247,0.11986196528540341,1.3848741532259785,0.1660909515886002,0.014920298814902866
dict_surprise_market,sp500_ret1d,test,88,0.05203729225449548,0.06773215085524087,0.21417618389226586,0.31624501671629024,0.7518165412962623,0.0027325570438985203
dict_surprise_market,sp500_ret1w,full,234,0.25066114299753733,0.2823776280026764,0.18789709206907468,1.5028312833009083,0.1328825566522173,0.011635522276319366
dict_surprise_market,sp500_ret1w,train,146,0.4266426847785653,0.20077245472884175,0.2221031698192869,0.9039603302023975,0.36601643683087626,0.008595407408529376
dict_surprise_market,sp500_ret1w,test,88,-0.036532904464322,0.28947242898630315,0.4514868052453457,0.6411536851647278,0.5214228373593487,0.0067696090666306
llm_surprise_ar1,dgs2_ret1d,full,234,-0.008553898982104837,0.04081572300332044,0.021080033260093282,1.9362266890056996,0.05283994307374164,0.019550581111900667
llm_surprise_ar1,dgs2_ret1d,train,146,-0.003493150684931525,0.04008095362091048,0.02645945435862769,1.5148065065008114,0.12982141226739166,0.02100906945333103
llm_surprise_ar1,dgs2_ret1d,test,88,-0.017295843485932244,0.049583957620205676,0.03422411853107885,1.4488015980653697,0.14739299738473394,0.022706313477468543
